252,CUECA FEMININA ESTAMPADA,"18,90",3
3452,TANGAO ARREBATIDO CLAUDI,"19,90",3
3442,TANGAO ITEVILDA (MICROFI,"22,90",3
3431,TANGAO CONFORT PLUS SIZE,"27,90",3
47,PAR MEIA MASC J ESP CANO L,"10,90",3
31,PAR MEIA SAPATILHA UNISSEX,"15,90",3
4411,CUECA BOXER ADULTO LISA,"19,90",5
104,CUECA BOXER ADULTO ESTAMP,"19,90",5
92,CUECA INF EST PATITEX,"15,90",5
135,TANGA INFANTIL ESTAMPADA,"12,90",5
213,TANGAO MARLENE (MICROFIBR,"26,40",5
483,TANGAO VALERIA FIO DUPLO,"25,20",5
334,TANGA FIO CANELADA C/ REG,"15,90",5
3228,TANGA FIO ROMA,"19,80",5
2090,TANGA EVELLYN FIO DUPLO,"16,20",5
3714,TANGA CONFORT SEM COSTUR,"14,90",5
216,TANGA KAREN (COTTON),"18,90",5
3717,TANGA REGIANE,"18,30",5
3781,TANGA GINA FIO DUPLO (MI,"26,90",5
4,PAR MEIA JUVENIL J,"8,30",5
5,PAR MEIA MASC J ESP CANO LO,"9,90",5
130,CONJUNTO INFANTIL LISO (C,"22,40",1
8520,CONJUNTO BRILHO CAROL,"61,90",1
8510,CONJUNTO BICOLOR CATHERI,"59,60",1
527,CONJUNTO PLUS DORALICE (M,"69,90",1
1022,CONJUNTO DANI BICOLOR (S,"54,90",1
6000,SOUTIEN REFORCADO FERNAN,"59,90",1
6600,SOUTIEN NADIA C/ PALETAS,"36,90",1
6007,SOUTIEN MIX BRONZE (SEM,"14,90",1
6611,SOUTIEN LISO PAULINIA (C,"51,80",1
710,SOUTIEN CONFORTO RENDA (M,"41,90",1
504,SOUTIEN CONFORTO REFORCAD,"70,90",1
885,CAMISOLA BICOLOR ESMERALD,"59,90",1
550,CAMISOLA PLUS SIZE BICOLO,"73,90",1
5807,BABY DOLL INFANTIL DISY,"48,90",1
824,BABY DOLL GABY,"49,90",1
821,BABY DOLL ESTAMPADO LUNNA,"49,90",1
9028,BABY DOLL CANELADO GABRI,"61,90",1
9074,BABY DOLL ESTAMPADO JESS,"71,90",1
1010,CALCA LEGGIN ALF HX IMPO,"114,90",1
6420,TOPPER ESTILO NEON (MICR,"59,90",1
1088,SHORT INTIMO IMPORTADO L,"23,90",1
9059,BABY DOLL MANGA BICOLOR,"82,90",1
8651,SACOLA KIT PATITEX,"29,90",1
908,PIJAMA CANELADO FLAVINHA,"98,90",4
906,PIJAMA CONFORT DEBORA (SU,"99,90",2
897,BABY DOLL LISO MELINDA C,"78,90",1
895,BABY DOLL LISO AYLA,"66,90",1
9609,CAMISOLA ARIEL (SLIP),"69,90",1
551,CAMISOLA PLUS SIZE LISA R,"64,90",1
91,CUECA BOXER INFANTIL ESTAM,"12,90",5
3430,TANGAO MESCLA LINEIA,"27,90",3
215,TANGAO JACK (MICROFIBRA),"22,80",13
3240,TANGA FIO IMPORTADA CANE,"16,90",1
276,TANGA MARIANNE,"15,90",5
4413,CUECA BOXER ADULTO COTO-,"22,90",5
81,CUECA BOXER ADULTO LISA TO,"21,90",5
85,CUECA BOXER FEMININA LOVE,"19,90",5
8508,CONJUNTO KAYLA CANELADO,"63,90",1
1024,CONJUNTO LIVIA (MICROFIB,"59,90",3
831,CONJUNTO MARAVILHA,"45,60",2
896,CONJUNTO PLUS SIZE DARA,"69,90",1
707,SOUTIEN CONFORTO LISO (MI,"46,90",1
